,title
0,"Ngatiyana Terjun Langsung Menemui Warga, Menampung  Aspirasi Masyarakat"
1,Spesifikasi Redmi 10C HP Gaming Murah Rp 1 Jutaan
2,"Puluhan Rumah di Perum Griya Zavira Cilawu Terancam Terbawa Longsor, Warga Minta Pemkab Segera Bertindak"
3,Prakiraan Cuaca Kota-kota Besar di Indonesia untuk Senin 25 Juli 2022
4,"Kurang dari 24 Jam, Pelaku Pembunuh Remaja Diciduk Saat Coba Melarikan Diri"
5,Bawaslu KBB Butuh Anggaran Rp23 Miliar untuk Pilkada Serentak 2024
6,Lansia Menjadi Kelompok Paling Rentan Selama Pandemi Covid-19
7,"Terdakwa Kasus Kebakaran Bengkel di Tangerang Divonis 8 Tahun Bui, PH: Keputusan Hakim Bijak"
8,"Odong-odong TERPENTAL 10 Meter Dihantam Kereta Api,  9 Orang Meninggal"
9,"Cinta Setelah Cinta 26 Juli 2022 Tayang di SCTV Pukul 19.30 WIB, Niko dan Ayu Kepergok Tio dan Gurunya"
10,"Sekali Panen, Petani Tomat di Lembang Mampu Meraup Pendapatan Rp1 Miliar"
11,Bacaan Niat Puasa Senin-Kamis Berikut Doa Berbuka dan Keutamaannya
12,"LINK LIVE STREAMING Persikabo vs Persebaya Surabaya, Segera KICK OFF Langsung Klik di Sini"
13,"LINK LIVE STREAMING Persib Bandung vs Bhayangkara FC, Maung Bandung Sementara Unggul 2-1!"
14,"Hadapi Tim EPPD Jabar, Bupati Sumedang Tekan Bawahannya Kooperatif"
15,"Persikabo Taklukkan Persebaya Surabaya 1-0, Gustavo Tocantins Jadi Pahlawan Kemenangan"
16,"Benfica vs Newcastle United, Jadwal Pertandingan, Tempat dan Prediksi Susunan Pemain"
17,Ridwan Kamil 'Ceramahi' Baim Wong Soal Citayam Fashion Week: Tidak Perlu Ikut-ikutan Mengatur!
18,"LINK LIVE STREAMING Persis Solo vs Dewa United, Pertaruhan Kualitas 2 Mantan Pelatih Timnas Indonesia"
19,"MENCEKAM! Warga  Sweeping  Kendaraan  Bermotor di Yogyakarta, Plat AD Trending Topic"
20,"Ini Daftar 73 Jemaah Haji yang Meninggal hingga Hari ke-53, 60% Jemaah Gelombang Pertama Pulang ke Tanah Air"
